No.,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説,分野
191,GKE Pod が `CrashLoopBackOff` になっている原因を確認するために、最初に実行する `kubectl` コマンドとして適切なものはどれですか？,`kubectl logs POD_NAME`,`kubectl delete namespace default`,`gcloud billing accounts close`,`gcloud dns managed-zones delete ZONE_NAME`,A,`kubectl logs` でコンテナの標準出力・標準エラー出力を確認し、起動失敗の原因を調査します。必要に応じて `kubectl describe pod` でイベントも確認します。,【クラウド ソリューションの正常な運用の実現】
192,Cloud SQL の読み取り負荷をプライマリ インスタンスから分離し、読み取り専用クエリをスケールさせたい場合に作成するものはどれですか？,読み取りレプリカ,Cloud Storage Archive バケット,Cloud NAT ゲートウェイ,Cloud Armor ポリシー,A,Cloud SQL の読み取りレプリカは、プライマリから非同期複製されたデータに対する読み取り処理を分散します。書き込みはプライマリに送ります。,【クラウド ソリューションの正常な運用の実現】
193,Cloud SQL インスタンスのメンテナンスを業務時間外に実施しやすくするために設定するものはどれですか？,メンテナンス ウィンドウ,Cloud CDN キャッシュキー,Cloud DNS の CNAME レコード,Cloud Storage ライフサイクル ルール,A,Cloud SQL のメンテナンス ウィンドウを設定すると、Google が実施するメンテナンスの優先時間帯を指定できます。,【クラウド ソリューションの正常な運用の実現】
194,Cloud Storage バケットで誤って上書き・削除されたオブジェクトの過去世代を復元しやすくする機能はどれですか？,オブジェクトのバージョニング,Cloud CDN,Cloud NAT,VPC ピアリング,A,オブジェクトのバージョニングを有効にすると、上書きや削除の前の世代を保持できます。不要な世代の削除はライフサイクル管理で自動化できます。,【クラウド ソリューションの正常な運用の実現】
195,Cloud Storage のオブジェクトを一定期間は削除・上書きできないようにして、規制上の保持要件を満たす機能はどれですか？,保持ポリシー,Cloud Storage のストレージ クラス,Cloud Logging のログシンク,Cloud Scheduler,A,バケットの保持ポリシーでは、オブジェクトを指定期間削除または置換できないようにできます。ポリシーをロックすると、保持期間を短縮または削除できません。,【クラウド ソリューションの正常な運用の実現】
196,Cloud Storage バケット内のオブジェクトをアクセス頻度に応じて Nearline や Archive へ自動移行するために設定するものはどれですか？,ライフサイクル管理ルール,Cloud NAT,Cloud Armor セキュリティ ポリシー,Cloud DNS の A レコード,A,Cloud Storage のライフサイクル管理では、オブジェクトの経過日数などの条件に応じてストレージ クラスの変更や削除を自動化できます。,【クラウド ソリューションの正常な運用の実現】
197,Pub/Sub サブスクリプションで処理に失敗したメッセージを、一定回数後に別のトピックへ隔離して調査したい場合に設定するものはどれですか？,デッドレター トピック,Cloud CDN バックエンド,Cloud SQL 読み取りレプリカ,Cloud NAT,A,デッドレター トピックを設定すると、配信試行回数の上限を超えたメッセージを隔離して、後から分析や再処理を行えます。,【クラウド ソリューションの正常な運用の実現】
198,Cloud Build の過去のビルドが失敗した原因を確認する際、最初に確認すべきものはどれですか？,ビルドのログ,Cloud DNS の NS レコード,Cloud Storage のストレージ クラス,Cloud NAT の IP アドレス,A,Cloud Build のビルド詳細では、各ステップの実行ログとエラーメッセージを確認できます。失敗したステップを特定して、ビルド構成やソースコードを修正します。,【クラウド ソリューションの正常な運用の実現】
199,Cloud Run サービスでリクエストの失敗率やレイテンシを監視し、しきい値超過時に通知したい場合、設定すべきものはどれですか？,Cloud Monitoring のアラート ポリシー,Cloud Storage の保持ポリシー,Cloud DNS のゾーン転送,Cloud VPN トンネル,A,Cloud Run はリクエスト数、レスポンス コード、レイテンシなどのメトリクスを Cloud Monitoring に送信します。これらを条件にアラート ポリシーを作成できます。,【クラウド ソリューションの正常な運用の実現】
200,インシデント発生時に Cloud Logging のログ、Cloud Monitoring のメトリクス、アラート履歴を確認する主な目的として最も適切なものはどれですか？,障害の影響範囲と原因を特定し、復旧と再発防止につなげる,請求先アカウントを削除する,すべてのログを即座に削除する,VPC ファイアウォールを無効化する,A,ログ、メトリクス、アラートを相関させることで、障害発生時刻、影響を受けたリソース、原因候補を調査できます。復旧後はポストモーテムなどを通じて再発防止策を検討します。,【クラウド ソリューションの正常な運用の実現】
201,Cloud Monitoring で、現在のメトリクス値を単一の数値として表示するダッシュボード ウィジェットはどれですか？,スコアカード,ログシンク,VPC ピアリング,Cloud NAT,A,スコアカードは、CPU 使用率などの現在値を単一の数値として表示します。,【クラウド ソリューションの正常な運用の実現】
202,Cloud Logging のログを Pub/Sub にルーティングして後続処理を起動する機能はどれですか？,ログシンク,通知チャネル,Cloud Scheduler,Cloud CDN,A,ログシンクはフィルタに一致したログを Pub/Sub、BigQuery、Cloud Storage などへルーティングします。,【クラウド ソリューションの正常な運用の実現】
203,VM のゲスト OS 内でディスク使用量を監視するために通常必要なものはどれですか？,Ops エージェント,Cloud DNS,Cloud Armor,Cloud Billing,A,Ops エージェントはゲスト OS の詳細なログとメトリクスを Cloud Operations に送信します。,【クラウド ソリューションの正常な運用の実現】
204,Cloud Run のリクエストログを確認する主なサービスはどれですか？,Cloud Logging,Cloud Storage,Cloud DNS,Cloud NAT,A,Cloud Run のリクエストログやコンテナ標準出力は Cloud Logging で確認できます。,【クラウド ソリューションの正常な運用の実現】
